iter	R2	Quantile:alpha=0.975
0	-1.705871749	1.447201818
1	-1.691042069	1.442354074
2	-1.631886483	1.425241096
3	-1.631810116	1.425206172
4	-1.554715707	1.399425832
5	-1.544170861	1.396130451
6	-1.391945764	1.345350516
7	-1.32847318	1.321443327
8	-1.259753214	1.294918103
9	-1.158763249	1.255828861
10	-1.065642125	1.218806596
11	-1.017178164	1.197389455
12	-0.9302920997	1.163016384
13	-0.880759724	1.1426492
14	-0.7793847255	1.096790435
15	-0.7108836223	1.067131253
16	-0.6859474666	1.054844994
17	-0.5355540773	0.9908253806
18	-0.5001466965	0.973098277
19	-0.4386650031	0.9425481132
20	-0.4243867742	0.9348636804
21	-0.4177751629	0.9306250461
22	-0.3756084136	0.909491913
23	-0.3635237238	0.9019629287
24	-0.3111064223	0.877785097
25	-0.2070950331	0.8298869409
26	-0.1323583098	0.7918215455
27	-0.1222949302	0.7860154593
28	-0.1089505997	0.7783048577
29	-0.09717907922	0.7720881147
30	-0.08894793934	0.7672497749
31	-0.07350549185	0.7585217259
32	-0.06750001157	0.7539175009
33	-0.05855750395	0.747485651
34	-0.05265587167	0.7436941917
35	-0.04757733997	0.7404886512
36	-0.0463023896	0.7396304551
37	-0.04595803098	0.7395123277
38	-0.04577372007	0.7393453854
39	-0.03631743263	0.7331859966
40	-0.03542204003	0.7327368938
41	-0.03239799801	0.7307726703
42	-0.03229585281	0.7306432718
43	-0.03211644832	0.7305111277
44	-0.02616760383	0.7271024098
45	-0.02596958625	0.7269137864
46	-0.02564566907	0.7267002268
47	-0.02560992682	0.726633119
48	-0.02486052356	0.7261497744
49	-0.02485735888	0.7261307235
50	-0.005929776526	0.7150997518
51	-0.005905258939	0.7150599939
52	-0.001866252696	0.7126159266
53	0.006585092673	0.7073757175
54	0.009225095179	0.7060504282
55	0.009627989665	0.7057429977
56	0.01027319304	0.7054071907
57	0.01033530354	0.7053215534
58	0.01035318611	0.7052891037
59	0.01076958211	0.705047649
60	0.0107716545	0.705036131
61	0.01094301596	0.7048779788
62	0.01095046848	0.7048544024
63	0.01099311599	0.7047948819
64	0.01099377943	0.7047888473
65	0.01135473219	0.7045446204
66	0.01172022462	0.7043149654
67	0.01287909419	0.7035732422
68	0.01306965117	0.7034166065
69	0.01330187481	0.7031767751
70	0.01339971899	0.7030499434
71	0.01339971022	0.7030499424
72	0.01353175617	0.702915612
73	0.01392129005	0.7027407382
74	0.01417311649	0.7024211981
75	0.01453744902	0.702239586
76	0.01616209496	0.7013447354
77	0.01813310698	0.6996470165
78	0.01813336953	0.6996428438
79	0.01813340185	0.6996417084
80	0.01813350621	0.6996390376
81	0.01813353433	0.6996379125
82	0.01813354708	0.6996370062
83	0.01813356923	0.6996356202
84	0.01813357479	0.6996349464
85	0.01813422058	0.6996301162
86	0.01813422248	0.6996297031
87	0.01813425646	0.6996286704
88	0.01813425692	0.6996285206
89	0.01813425729	0.6996283785
90	0.01814011049	0.6996131279
91	0.01814446024	0.699592833
92	0.01830809989	0.6994514802
93	0.01831021345	0.6994380887
94	0.01835224098	0.6994016944
95	0.01835223918	0.69940167
96	0.01854147147	0.6992756611
97	0.01854147243	0.6992756278
98	0.01854147289	0.6992755609
99	0.01870959662	0.699140777
